Year,Unit shipments in millions
2022*,269.04
2021*,283.82
2020*,305.67
2019*,320.04
2018,375.56
2017,403.7
2016,424.07
2015,468.73
2014,563.94
2013,551.96
2012,578.47
2011,622.3
2010,651.32
2009,557.15
2008,540.28
2007,501.88
2006,435.88
2005,381.16
2004,305.2
2003,244.4
2002,207.4
2001,196.0
2000,200.1
1999,174.4
1998,144.97
1997,130.5
1996,105.02
1995,89.57
1994,70.0
1993,51.86
1992,43.91
1991,32.59
1990,27.88
1989,22.18
1988,17.77
1987,13.19
1986,7.41
1985,4.89
1984,3.65
1983,1.97
1982,0.95
1981,0.7
1980,0.51
1979,0.39
1978,0.31
1977,0.24
1976,0.18
