Campaign/Brand (Agency),Number of points
Let's make viral products instead! /Carvaan (the Womb Mumbai),75.2
Healthy Hands Chalk Sticks / Savlon (Ogilvy Mumbai),72.8
India's Newest Status Symbol / Harpic (McCann New Delhi),63.3
"How L'Oréal Paris True Match climbed to No.1 by making everyone feel ‘Worth It’ / True Match ((McCann London, Paris, Melbourne)",58.9
The Child Replacement Programme / Pedigree (Colenso BBDO Auckland / Starcom Auckland),56.6
Made Possible by Melbourne / University of Melbourne (McCann Melbourne),53.1
The Impact of Fearless Girl / State Street Global Advisors (McCann New York),50.1
Beauty and brains: How we supercharged the Audi premium 2015-2018 / Audi (BBH London / Salmon London / MediaCom London / PHD London),49.3
The Hearing Test In Disguise/ Cochlear (CHE Proximity Sydney),45.9
Original is Never Finished / adidas Originals (Johannes Leonardo New York),44.0
