Country,"Medals won (gold, silver, bronze)"
United States,2520
Russia,1865
Germany,1681
Great Britain,847
France,713
Italy,577
China,543
Australia,497
Sweden,494
Hungary,491
Japan,439
Romania,306
Finland,303
Canada,301
Netherlands,285
Poland,282
South Korea,264
Cuba,220
Bulgaria,214
Czech Republic,197
Denmark,194
Switzerland,193
Norway,152
Belgium,148
Spain,148
Brazil,128
Ukraine,124
Greece,117
New Zealand,117
Kenya,100
Serbia,110
Turkey,93
Austria,87
South Africa,86
Belarus,85
Jamaica,78
Argentina,69
Kazakhstan,69
Iran,68
Mexico,67
North Korea,54
Ethiopia,53
Azerbaijan,44
Estonia,34
Croatia,33
Uzbekistan,33
Georgia,32
Ireland,32
Thailand,31
Indonesia,30
