Country,Share of respondents who trust news media
Finland,59%
Portugal,58%
Denmark,57%
Netherlands,52%
Canada,52%
Mexico,50%
Belgium,49%
Ireland,48%
Brazil,48%
Poland,48%
Germany,47%
Norway,46%
Hong Kong,46%
Switzerland,46%
Turkey,46%
Chile,45%
Australia,44%
Spain,43%
Singapore,42%
United Kingdom,40%
Bulgaria,40%
Italy,40%
Croatia,40%
Argentina,39%
Austria,39%
Sweden,39%
Japan,39%
Romania,35%
Slovakia,33%
Czech Republic,33%
United States,32%
Malaysia,31%
Taiwan,28%
Hungary,28%
Greece,27%
France,24%
South Korea,22%
