State,"Deaths per 1,000 live births"
New Hampshire,3.9
Vermont,3.9
Massachusetts,4.1
California,4.3
New Jersey,4.4
New York,4.5
Washington,4.6
Colorado,4.7
Oregon,4.9
Wyoming,5.0
Iowa,5.1
Minnesota,5.1
Utah,5.2
Connecticut,5.2
Idaho,5.4
Arizona,5.4
Nevada,5.5
New Mexico,5.6
Rhode Island,5.7
Texas,5.7
United States,5.9
Montana,5.9
Kansas,5.9
Virginia,5.9
Wisconsin,6.0
Hawaii,6.0
Nebraska,6.0
Alaska,6.1
Pennsylvania,6.1
South Dakota,6.1
Illinois,6.2
Maine,6.2
Florida,6.2
Michigan,6.5
Missouri,6.5
Maryland,6.6
Kentucky,6.7
North Dakota,6.8
South Carolina,7.0
Tennessee,7.2
West Virginia,7.2
Ohio,7.3
North Carolina,7.3
Indiana,7.4
Oklahoma,7.4
Georgia,7.6
Arkansas,7.8
Louisiana,7.8
District of Columbia,7.8
Delaware,8.4
Alabama,8.7
Mississippi,8.9
