Year,GDP in billion U.S. dollars
2024*,482.17
2023*,461.44
2022*,442.87
2021*,426.8
2020*,414.02
2019*,405.77
2018*,414.18
2017,377.7
2016,357.05
2015,358.14
2014,403.14
2013,390.11
2012,374.59
2011,350.67
2010,289.79
2009,253.55
2008,315.48
2007,257.92
2006,222.12
2005,180.62
2004,147.82
2003,124.35
2002,109.82
2001,103.31
2000,103.89
1999,82.87
1998,73.39
1997,76.17
1996,70.99
1995,63.64
1994,57.45
1993,53.44
1992,52.21
1991,49.82
1990,49.09
1989,38.09
1988,33.0
1987,32.47
1986,29.57
1985,37.31
1984,38.01
