Month,Unemployment rate
Jan '20,3.9%
Dec '19,3.8%
Nov '19,4.1%
Oct '19,4.1%
Sep '19,4.2%
Aug '19,4.1%
Jul '19,4.4%
Jun '19,4.3%
May '19,4.1%
Apr '19,4.2%
Mar '19,4.5%
Feb '19,4.7%
Jan '19,4.7%
Dec '18,4.1%
Nov '18,4.3%
Oct '18,4.5%
Sep '18,4.5%
Aug '18,4.4%
Jul '18,5%
Jun '18,4.9%
May '18,4.8%
Apr '18,4.9%
Mar '18,5.2%
Feb '18,5.4%
Jan '18,5.4%
Dec '17,5.1%
Nov '17,5.2%
Oct '17,5.3%
Sep '17,5.5%
Aug '17,5.5%
Jul '17,6.2%
Jun '17,6.1%
May '17,6.1%
Apr '17,6.2%
Mar '17,6.4%
Feb '17,6.7%
Jan '17,6.6%
