Country,Average monthly wage in U.S. dollars
Luxembourg,4089
Norway,3678
Austria,3437
United States,3263
United Kingdom,3065
Belgium,3035
Sweden,3023
Ireland,2997
Finland,2925
Korea (Republic of),2903
France,2886
Canada,2724
Germany,2720
Singapore,2616
Australia,2610
Cyprus,2605
Japan,2522
Italy,2445
Iceland,2431
Spain,2352
Greece,2300
New Zealand,2283
South Africa,1838
Malta,1808
Israel,1804
Czech Republic,1786
Croatia,1756
Turkey,1731
Qatar,1690
Hong Kong (China),1545
Poland,1536
Slovakia,1385
Hungary,1374
Macedonia,1345
Bosnia & Herzegovina,1338
Estonia,1267
Russian Federation,1215
Jamaica,1135
Lithuania,1109
Argentina,1108
Latvia,1098
Serbia,1058
Chile,1021
Botswana,996
Malaysia,961
Belarus,959
Romania,954
Bahrain,917
Panama,831
Mauritius,783
Brazil,778
Macau (China),758
Kazakhstan,753
Bulgaria,750
Colombia,692
Ukraine,686
China,656
Mexico,609
Georgia,603
Azerbaijan,596
Egypt,548
Thailand,489
Armenia,471
Dominican Republic,462
Moldova (Republic of),438
Mongolia,415
Syrian Arab Republic,364
Kyrgyzstan Republic,336
India,295
Philippines,279
Pakistan,255
Tajikistan,227
