Metropolitan Statistical Area,"Violent crime rate per 100,000 inhabitnats"
"Anchorage, AK",1263.6
"Farmington, NM",1199.8
"Memphis, TN-MS-AR",1142.5
"Albuquerque, NM",1084.7
"Detroit-Dearborn-Livonia, MI",1001.8
"Danville, IL",931.9
"Pine Bluff, AR",880.4
"Hammond, LA",849.1
"Lubbock, TX",829.3
"Wichita, KS",826.0
"Stockton, CA",795.1
"Alexandria, LA",775.3
"Philadelphia, PA",763.7
"Odessa, TX",760.6
"Florence, SC",748.2
"Rockford, IL",742.6
"Little Rock-North Little Rock-Conway, AR",738.1
"Albany, GA",728.5
"Anniston-Oxford, AL",726.0
"Monroe, LA",724.6
"Baltimore-Columbia-Towson, MD",720.8
"Gainesville, FL",713.3
"Corpus Christi, TX",699.3
"Lawton, OK",695.1
"Pueblo, CO",693.4
"Flint, MI",683.2
"Sumter, SC",679.0
"Battle Creek, MI",666.5
"Saginaw, MI",661.0
"Amarillo, TX2",660.4
"Redding, CA",650.1
"Indianapolis-Carmel-Anderson, IN",641.5
"Fairbanks, AK",625.5
"Milwaukee-Waukesha, WI",609.7
"Jackson, TN",608.6
"Shreveport-Bossier City, LA",602.8
"Dothan, AL",602.0
"Nashville-Davidson–Murfreesboro–Franklin, TN",599.1
"Springfield, IL",596.0
"Fresno, CA",595.3
"Kalamazoo-Portage, MI",592.5
"Bakersfield, CA",591.7
"Los Angeles-Long Beach-Glendale, CA",577.9
"Modesto, CA",576.2
"Madera, CA",572.4
"Columbia, SC",567.9
"Merced, CA",567.2
"Tulsa, OK",564.8
"New Orleans-Metairie, LA",563.8
"Springfield, MO",562.6
