Month,Number of yards
Emmitt Smith (1990-2004),18355
Walter Payton (1975-1987),16726
Frank Gore (2005-2020),15347
Barry Sanders (1989-1998),15269
Adrian Peterson (2007-2020),14216
Curtis Martin (1995-2005),14101
LaDainian Tomlinson (2001-2011),13684
Jerome Bettis (1993-2005),13662
Eric Dickerson (1983-1993),13259
Tony Dorsett (1977-1988),12739
Jim Brown (1957-1965),12312
Marshall Faulk (1994-2005),12279
Edgerrin James (1999-2009),12246
Marcus Allen (1982-1997),12243
Franco Harris (1972-1984),12120
Thurman Thomas (1988-2000),12074
Fred Taylor (1998-2010),11695
Steven Jackson (2004-2015),11438
John Riggins (1971-1985),11352
Corey Dillon (1997-2006),11241
