Year,Population in millions
2024*,1411.02
2023*,1411.18
2022*,1411.33
2021*,1408.17
2020*,1404.44
2019,1400.05
2018,1395.38
2017,1390.08
2016,1382.71
2015,1374.62
2014,1367.82
2013,1360.72
2012,1354.04
2011,1347.35
2010,1340.91
2009,1334.5
2008,1328.02
2007,1321.29
2006,1314.48
2005,1307.56
2004,1299.88
2003,1292.27
2002,1284.53
2001,1276.27
2000,1267.43
1999,1257.86
1998,1247.61
1997,1236.26
1996,1223.89
1995,1211.21
1994,1198.5
1993,1185.17
1992,1171.71
1991,1158.23
1990,1143.33
1989,1127.04
1988,1110.26
1987,1093.0
1986,1075.07
1985,1058.51
1984,1043.57
1983,1030.08
1982,1016.54
1981,1000.72
1980,987.05
