Country,Share of total goods exported
United States,15.7%
Germany,10.4%
Netherlands,7.6%
France,7%
Ireland,6.3%
China,5.3%
Belgium,4.1%
Italy,3.1%
Spain,3%
Hong Kong,2.4%
Switzerland,2.1%
Japan,2%
United Arab Emirates,2%
South Korea,1.8%
Canada,1.7%
Sweden,1.6%
India,1.6%
Turkey,1.5%
Poland,1.5%
Singapore,1.4%
Australia,1.4%
Saudi Arabia,1.1%
Norway,1%
Denmark,0.8%
Russia,0.8%
Qatar,0.7%
South Africa,0.6%
Brazil,0.6%
Czechia,0.6%
Austria,0.5%
Nigeria,0.5%
Mexico,0.5%
Thailand,0.4%
Portugal,0.4%
Hungary,0.4%
Taiwan,0.4%
Malaysia,0.4%
Finland,0.4%
Egypt,0.3%
Romania,0.3%
Israel,0.3%
Greece,0.3%
Oman,0.3%
North Macedonia,0.3%
New Zealand,0.2%
Pakistan,0.2%
Indonesia,0.2%
Morocco,0.2%
Vietnam,0.2%
Chile,0.2%
