Tourist Attraction,Annual number of visitors in millions
Las Vegas Strip,39.67
"Times Square, New York City",39.2
"Central Park, New York City",37.5
"Union Station, Washington D.C.",32.85
Niagara Falls,22.5
"Grand Central Terminal, New York City",21.6
"Faneuil Hall Marketplace, Boston",18.0
"Disneyworld's Magic Kingdom, Orlando",17.54
"Disneyland Park, Anaheim",15.96
"Forbidden City, Beijing",15.3
"Grand Bazaar, Istanbul",15.0
"Tokyo Disneyland, Tokyo",14.85
"Notre Dame Cathedral, Paris",13.65
"Golden Gate Park, San Francisco",13.0
Tokyo Disney Sea,12.66
"Disneyland Park, France",11.2
"Epcot, Florida",11.06
"Sacre Coeur Basilica, Paris",10.5
"Tsim Sha Tsui Waterfront, Hong Kong",10.09
"Pike Place Market, Seattle",10.0
"The Zocalo, Mexico City",10.0
"Disney's Animal Kingdom, Florida",10.0
"Disney's Hollywood Studios, Florida",9.91
"Universal Studios Japan, Osaka",9.7
"Great Smoky Mountains National Park, Tennessee",9.69
"Navy Pier, Chicago",9.2
"Musee du Louvre, Paris",9.2
Great Wall of China,9.0
"Sout Street Seaport, New York City",9.0
"Pier 39, San Francisco",8.5
"Sydney Opera House, Sydney",8.2
"National Museum of Natural History (Smithsonian), Washington D.C.",8.0
"Islands of Adventure, Universal Orlando",7.98
Disney's California Adventure,7.78
"Ocean Park, Hong Kong",7.44
"Victoria Peak, Hong Kong",7.0
"National Air and Space Museum (Smithsonian), Washington D.C.",7.0
"Eiffel Tower, Paris",7.0
"Everland, Gyeonggi-Do, South Korea",6.85
"British Museum, London",6.7
"Disneyland, Hong Kong",6.7
"Lotte World, Seoul",6.38
"Lake Mead, Nevada",6.29
"Universal Studios, Florida",6.2
"Lincoln Memorial, Washington D.C.",6.19
"Metropolitan Museum of Art, New York City",6.12
"Bourbon Street, New Orleans",6.02
"Universal Studios, Hollywood",5.91
"Palace of Versailles, France",5.9
"Nagashima Spa Land, Japan",5.85
