Country,House-price-to-income ratio
Canada,122.33%
Portugal,119.34%
Netherlands,117.19%
Ireland,114.68%
Spain,114.6%
New Zealand,113.92%
Germany,113.78%
Czech Republic,113.56%
Luxembourg,112.03%
Austria,111.13%
Slovak Republic,109.23%
United States,108.09%
Slovenia,107.67%
United Kingdom,106.87%
Switzerland,106.67%
Hungary,105.95%
Norway,105.56%
Denmark,104.87%
Sweden,103.6%
Australia,102.43%
Japan,102.14%
Belgium,101.94%
Chile,101.36%
France,100.86%
Latvia,100.8%
South Africa,98.91%
Lithuania,97.07%
Poland,96.3%
Estonia,95.55%
Greece,95.55%
Finland,94.28%
Korea,93.69%
Italy,92.03%
