Player,World ranking points
"Djokovic, Novak (SRB)",9720
"Nadal, Rafael (ESP)",9395
"Federer, Roger (SUI)",7130
"Thiem, Dominic (AUT)",7045
"Medvedev, Daniil (RUS)",5890
"Tsitsipas, Stefanos (GRC)",4745
"Zverev, Alexander (GER)",3885
"Berrettini, Matteo (ITA)",2860
"Monfils, Gael (FRA)",2860
"Goffin, David (BEL)",2555
"Fognini, Fabio (ITA)",2400
"Bautista Agut, Roberto (ESP)",2360
"Schwartzmann, Diego (ARG)",2265
"Rublev, Andrey (RUS)",2219
"Shapovalov, Denis (CAN)",2075
"Wawrinka, Stan (SUI)",2060
"Khachanov, Karen (RUS)",2040
"Garin, Cristian (CHI)",2005
"Aliassime, Felix-Auger (CAN)",1771
"Isner, John (USA)",1760
"Paire, Benoit (FRA)",1738
"Dimitrov, Grigor (BUL)",1682
"Kyrgios, Nick (AUS)",1670
"Lajovic, Dusan (SRB)",1670
"de Minaur, Alex (AUS)",1575
"Pella, Guido (ARG)",1515
"Carreno Busta, Pablo (ESP)",1500
"Coric, Borna (CRO)",1455
"Basilashvili, Nikoloz (GEO)",1440
"Hurkacz, Hubert (POL)",1433
"Nishikori, Kei (JPN)",1390
"Raonic, Milos (CAN)",1350
"Krajinovic, Filip (SRB)",1318
"Struff, Jan-Lennard (GER)",1270
"Fritz, Taylor (USA)",1255
"Cilic, Marin (CRO)",1225
"Evans, Daniel (GBR)",1224
"Ruud, Casper (NOR)",1219
"Opelka, Reilly (USA)",1177
"Millman, John (AUS)",1141
"Querrey, Sam (USA)",1090
"Mannarino, Adrian (FRA)",1086
"Humbert, Ugo (FRA)",1086
"Edmund, Kyle (GBR)",1085
"Ramos-Vinolas, Albert (ESP)",1085
"Sonego, Lorenzo (ITA)",1038
"Bublik, Alexander (KAZ)",1010
"Nishioka, Yoshihito (JPN)",1007
"Tsonga, Jo-Wilfried (FRA)",1005
"Kecmanovic, Miomir (SRB)",1003
