Quarter,Real GDP in trillion chained (2012) U.S. dollars
Q1 '11,15.71
Q2 '11,15.83
Q3 '11,15.82
Q4 '11,16.0
Q1 '12,16.13
Q2 '12,16.2
Q3 '12,16.22
Q4 '12,16.24
Q1 '13,16.38
Q2 '13,16.4
Q3 '13,16.53
Q4 '13,16.66
Q1 '14,16.62
Q2 '14,16.84
Q3 '14,17.05
Q4 '14,17.14
Q1 '15,17.28
Q2 '15,17.41
Q3 '15,17.46
Q4 '15,17.47
Q1 '16,17.56
Q2 '16,17.64
Q3 '16,17.74
Q4 '16,17.82
Q1 '17,17.93
Q2 '17,18.02
Q3 '17,18.16
Q4 '17,18.32
Q1 '18,18.44
Q2 '18,18.6
Q3 '18,18.73
Q4 '18,18.78
Q1 '19,18.93
Q2 '19,19.02
Q3 '19,19.12
