Exhbition and Convention Centers ,Exhibit space in million square feet
"National Exhibition and Convention Centre (Shanghai, China)",4.04
"China Import & Export Fair Complex (Guangzhou, China)",3.38
"Shanghai New International Expo Centre (Shanghai, China)",2.0
"Guangdong Modern International Exhibition Center (Dongguan, China)",1.5
"IMPACT Exhibition and Convention Center (Nonthaburi, Thailand)",1.4
"KINTEX (Goyang-si, South Korea)",1.08
"China International Exhibition Center (Beijing, China)",1.07
"Shenzhen Convention & Exhibition Center (Shenzhen, China)",1.05
Singapore EXPO Convention Center,1.0
Suzhou International Expo Center (SuzhouExpo),1.0
