Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",201.42
Professional and business services,125.49
Government and government enterprises,98.02
"Educational services, health care, and social assistance",91.29
Retail trade,71.77
Wholesale trade,65.91
"Arts, entertainment, recreation, accommodation, and food services",53.09
Manufacturing,51.36
Information,46.16
Construction,42.95
Transportation and warehousing,29.75
Utilities,15.99
"Agriculture, forestry, fishing, and hunting",7.11
"Mining, quarrying, and oil and gas extraction",1.89
