State,Number of cases
New York,68785
California,63795
Texas,63271
Michigan,37703
Florida,36795
Illinois,31515
Massachusetts,25812
Indiana,25731
Ohio,25158
Kentucky,23752
South Carolina,19130
Arizona,15504
Oklahoma,15355
Oregon,12581
Alabama,12158
Colorado,11879
Iowa,11764
Georgia,11090
Utah,10122
Mississippi,10002
Louisiana,9380
Tennessee,9186
Arkansas,8538
New Mexico,8024
Minnesota,7785
Maryland,7743
Connecticut,7652
West Virginia,6946
North Carolina,6502
Virginia,6132
New Jersey,6008
Missouri,5662
Nevada,5162
Wisconsin,5017
Pennsylvania,4695
Washington,4498
Puerto Rico,4381
Montana,3763
Rhode Island,3644
Maine,3481
Kansas,3188
Nebraska,2635
Alaska,2615
North Dakota,2097
Idaho,1919
District of Columbia,1699
South Dakota,1426
New Hampshire,1331
Hawaii,1265
Delaware,1251
Wyoming,1044
Vermont,958
