Mlb Player,Number of runs scored
Rickey Henderson,2295
Ty Cobb,2243
Barry Bonds,2227
Hank Aaron,2174
Babe Ruth,2174
Pete Rose,2165
Willie Mays,2062
Alex Rodriguez,2021
Cap Anson,1999
Stan Musial,1949
Derek Jeter,1923
Lou Gehrig,1888
Tris Speaker,1882
Mel Ott,1859
Craig Biggio,1844
Frank Robinson,1829
Albert Pujols,1828
Eddie Collins,1821
Carl Yastrzemski,1816
Ted Williams,1798
Paul Molitor,1782
Charlie Gehringer,1775
Jimmie Foxx,1751
Honus Wagner,1739
Jim O'Rourke,1729
Jesse Burkett,1720
Willie Keeler,1719
Billy Hamilton,1697
Bid McPhee,1684
Mickey Mantle,1676
