Month,Sales in million GBP
Dec 19,2069.2
Nov 19,1802.6
Oct 19,1446.3
Sep 19,1319.2
Aug 19,1329.2
Jul 19,1419.1
Jun 19,1351.4
May 19,1377.6
Apr 19,1348.0
Mar 19,1345.3
Feb 19,1243.7
Jan 19,1280.3
Dec 18,1854.6
Nov 18,1816.9
Oct 18,1332.9
Sep 18,1219.0
Aug 18,1192.9
July 18,1246.2
June 18,1248.2
May 18,1264.2
Apr 18,1178.2
Mar 18,1175.7
Feb 18,1093.9
Jan 18,1126.9
Dec 17,1641.6
Nov 17,1068.4
Oct 17,1179.7
Sep 17,1090.7
Aug 17,1046.7
Jul 17,1074.4
Jun 17,1078.9
May 17,1043.1
Apr 17,1042.7
Mar 17,1009.1
Feb 17,949.0
Jan 17,992.4
Dec 16,1505.6
Nov 16,1460.5
Oct 16,1076.8
Sep 16,960.5
Aug 16,879.6
Jul 16,894.2
Jun 16,898.5
May 16,890.5
Apr 16,854.0
Mar 16,811.7
Feb 16,776.5
Jan 16,854.4
