Year,Average number of children per family
2019,1.93
2018,1.9
2017,1.9
2016,1.89
2015,1.86
2014,1.9
2013,1.88
2012,1.88
2011,1.87
2010,1.88
2009,1.86
2008,1.86
2007,1.81
2006,1.82
2005,1.82
2004,1.83
2003,1.83
2002,1.83
2001,1.83
2000,1.87
1999,1.86
1998,1.85
1997,1.84
1996,1.86
1995,1.84
1994,1.84
1993,1.84
1992,1.85
1991,1.84
1990,1.83
1989,1.82
1988,1.81
1987,1.81
1986,1.83
1985,1.85
1984,1.85
1983,1.87
1982,1.87
1981,1.88
1980,1.91
1979,1.93
1978,1.96
1977,2.01
1976,2.04
1975,2.09
1974,2.14
1973,2.17
1972,2.22
1971,2.31
1970,2.28
1965,2.44
1960,2.33
