Industry,Share of responding businesses
Retail or wholesale (incl. online shops),15%
Other,13%
"Professional services (e.g., financial services, consulting, travel agents, business services)",13%
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",11%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",10%
"Personal services (e.g. beauty and wellness, repair of household goods)",10%
Manufacturing,6%
"Healthcare (e.g., dentist, senior care)",4%
"Accommodation (e.g., hotels, camping grounds)",4%
Restaurant/café or other food services,3%
"Real estate (e.g., brokerage, leasing, management)",2%
Construction or home repair,2%
"Education (e.g., schools, tutoring, driving school)",2%
Non-profit/charity organization,2%
Automotive repair or services,2%
"Transportation or storage (e.g., taxi, warehousing)",1%
