State,Growth rate
Nevada,3.4%
Utah,3.2%
Idaho,3.1%
Arizona,2.8%
Washington,2.6%
Colorado,2.4%
Florida,2.4%
South Carolina,2.4%
Texas,2.3%
California,2%
Georgia,1.9%
Oregon,1.8%
North Carolina,1.7%
Tennessee,1.6%
Oklahoma,1.5%
West Virginia,1.5%
New Mexico,1.3%
Alabama,1.2%
New York,1.1%
Pennsylvania,1.1%
Michigan,1.1%
Virginia,1.1%
Arkansas,1.1%
Montana,1.1%
South Dakota,1.1%
District of Columbia,1%
Indiana,1%
Delaware,1%
New Jersey,0.9%
Illinois,0.9%
Kansas,0.9%
Massachussets,0.9%
New Hampshire,0.8%
Wisconsin,0.8%
Minnesota,0.8%
Maine,0.7%
Iowa,0.7%
Maryland,0.7%
Wyoming,0.7%
North Dakota,0.6%
Ohio,0.6%
Louisiana,0.5%
Hawaii,0.5%
Kentucky,0.5%
Missouri,0.5%
Rhode Island,0.5%
Nebraska,0.4%
Mississippi,0.3%
Vermont,0.2%
Connecticut,0.1%
Alaska,-0.6%
