Month,Total rainfall in millimeters
Dec '19,138.9
Nov '19,117.6
Oct '19,138.8
Sep '19,122.4
Aug '19,136.5
Jul '19,88.9
Jun '19,111.5
May '19,64.8
Apr '19,51.4
Mar '19,132.9
Feb '19,72.8
Jan '19,63.6
Dec '18,119.5
Nov '18,122.6
Oct '18,104.4
Sep '18,104.5
Aug '18,84.9
Jul '18,55.3
Jun '18,35.4
May '18,48.5
Apr '18,86.3
Mar '18,104.4
Feb '18,64.3
Jan '18,133.5
Dec '17,121.5
Nov '17,108.2
Oct '17,102.5
Sep '17,117.8
Aug '17,102.8
Jul '17,101.7
Jun '17,110.6
May '17,57.3
Apr '17,33.6
Mar '17,98.1
Feb '17,93.9
Jan '17,76.4
Dec '16,77.9
Nov '16,104.7
Oct '16,47.4
Sep '16,97.0
Aug '16,85.5
Jul '16,79.0
Jun '16,95.5
May '16,61.3
Apr '16,77.7
Mar '16,83.4
Feb '16,110.8
Jan '16,179.6
Dec '15,218.8
Nov '15,172.9
Oct '15,72.4
Sep '15,52.3
Aug '15,105.0
Jul '15,108.0
Jun '15,56.5
May '15,110.3
Apr '15,45.7
Mar '15,95.6
Feb '15,80.5
Jan '15,154.3
Dec '14,132.6
Nov '14,123.7
Oct '14,158.5
Sep '14,22.8
Aug '14,138.8
Jul '14,64.7
Jun '14,54.8
May '14,99.6
Apr '14,67.8
Mar '14,80.0
Feb '14,169.2
Jan '14,188.0
