Month,House price index
Sep '19,117.81
Aug '19,117.9
Jul '19,119.36
Jun '19,116.9
May '19,115.09
Apr '19,116.7
Mar '19,115.01
Feb '19,115.86
Jan '19,116.66
Dec '18,115.53
Nov '18,117.8
Oct '18,119.1
Sep '18,118.29
Aug '18,119.04
Jul '18,120.32
Jun '18,119.13
May '18,118.78
Apr '18,118.47
Mar '18,117.25
Feb '18,118.62
Jan '18,119.1
Dec '17,118.37
Nov '17,118.23
Oct '17,119.59
Sep '17,120.1
Aug '17,120.91
July '17,121.27
Jun '17,119.19
May '17,119.38
Apr '17,119.1
Mar '17,118.02
Feb '17,118.34
Jan '17,118.06
