Month,Units sold
Dec 19,6212
Nov 19,10382
Oct 19,6007
Sep 19,27403
Aug 19,4864
Jul 19,10398
Jun 19,15540
May 19,13461
Apr 19,10639
Mar 19,37769
Feb 19,4905
Jan 19,12250
Dec 18,12645
Nov 18,11560
Oct 18,9437
Sep 18,28847
Aug 18,5078
Jul 18,11781
Jun 18,18218
May 18,13983
Apr 18,11214
Mar 18,37023
Feb 18,4860
Jan 18,12652
Dec 17,13303
Nov 17,10343
Oct 17,9740
Sep 17,31058
Aug 17,6678
Jul 17,11528
Jun 17,20981
May 17,14041
Apr 17,10732
Mar 17,46564
Feb 17,6299
Jan 17,13870
Dec 16,17074
Nov 16,15976
Oct 16,14949
Sep 16,41697
Aug 16,8579
Jul 16,19733
