Nba Team,Facebook fans in millions
NBA*,38.05
Los Angeles Lakers,21.57
Chicago Bulls,17.74
Miami Heat,15.27
Houston Rockets,12.56
Golden State Warriors,11.72
Boston Celtics,9.01
Cleveland Cavaliers,8.59
Sacramento Kings,7.51
Oklahoma City Thunder,7.07
San Antonio Spurs,7.05
New York Knicks,5.83
Dallas Mavericks,4.37
Los Angeles Clippers,3.78
Indiana Pacers,3.25
Orlando Magic,2.75
Brooklyn Nets,2.7
Toronto Raptors,2.68
Portland Trailblazers,2.46
Denver Nuggets,2.01
Minnesota Timberwolves,1.89
Phoenix Suns,1.88
Milwaukee Bucks,1.82
Utah Jazz,1.81
Memphis Grizzlies,1.8
Detroit Pistons,1.79
New Orleans Pelicans,1.75
Philadelphia 76ers,1.75
Charlotte Hornets,1.74
Atlanta Hawks,1.61
Washington Wizards,1.55
