Quarter,Blockchain size in megabytes
Q3 '19,242386.0
Q2 '19,226596.0
Q1 '19,210557.0
Q4 '18,197224.0
Q3 '18,184622.0
Q2 '18,173170.04
Q1 '18,162685.27
Q4 '17,149113.62
Q3 '17,134715.95
Q2 '17,122298.19
Q1 '17,108974.54
Q4 '16,96236.0
Q3 '16,84455.0
Q2 '16,73973.0
Q1 '16,63427.0
Q4 '15,53647.0
Q3 '15,45418.0
Q2 '15,38122.0
Q1 '15,32706.0
Q4 '14,27805.0
Q3 '14,23450.0
Q2 '14,19861.0
Q1 '14,16567.0
Q4 '13,13468.0
Q3 '13,10727.0
Q2 '13,8713.0
Q1 '13,6406.0
Q4 '12,4255.0
Q3 '12,2897.0
Q2 '12,1672.0
Q1 '12,876.0
Q4 '11,631.0
Q3 '11,449.0
Q2 '11,188.0
Q1 '11,15.0
Q4 '10,10.0
Q3 '10,1.0
