Insurer,Amount in billion U.S. dollars
National Indemnity Company,27.12
Everest Reinsurance Company,6.57
"Munich Re America, Corp.",5.5
XL Reinsurance America,5.47
Swiss Reinsurance America Corporation,4.33
Transatlantic Reinsurance Company,3.95
Odyssey Group,3.09
General Re Group,2.52
SCOR U.S. Corporation,1.82
Partner Reinsurance Company of the U.S.,1.57
AXIS Reinsurance Company,1.18
American Agricultural Ins. Co.,0.99
Endurance Assurance Corporation,0.96
Renaissance Reinsurance US Inc.,0.77
The Toa Reinsurance Company of America,0.48
Sirius America Insurance Company,0.29
EMC Reinsurance Company,0.16
