"Firm (Headquarters, Fiscal Year End)",Revenue in the U.S. in billion U.S. dollars
"Deloitte LLP**(New York, May)",19.9
"PwC U.S.**(New York, June)",15.4
"Ernst & Young LLP**(New York, June)",14.0
"KPMG LLP**(New York, September)",9.46
"RSM U.S.(Chicago, April)",2.14
"Grant Thornton LLP(Chicago, December)",1.87
"BDO USA LLP(Chicago, June )",1.47
CliftonLarsonAllen LLP (December)***,0.95
"Crowe Horwath LLP/(Chicago, December)",0.92
"CBIZ & Mayer Hoffman McCann PC(Cleveland, December)",0.78
"Moss Adams LLP(Seattle, December)",0.69
"CohnReznick LLP(New York, January)",0.65
"BKD LLP(Springfield, Mo., May)",0.59
"Baker Tilly Virchow Krause LLP(Chicago, May)",0.58
"Marcum LLP(New York, December)",0.55
