Brand/ segment,Percent sales increase
Gillete Fusion/ cartridges,-9.8%
Philips Norelco/ electric shaver groomer,1.6%
Gillette Mach3/ cartridges,4%
Degree Men's/ deodorant,0.7%
Gillette Fusion ProGlide/ cartridges,-0.3%
Old Spice Red Zone/ toiletries and grooming,5.6%
Just for Men's/ hair coloring,-3.5%
Axe/ liquid body wash,4.9%
Old Spice High Endurance/ deodorant,1%
Axe Dry/ deodorants,1.3%
Gillette Fusion ProGlide Power / Cartridges,-6.1%
Dove Men+Care/ liquid body wash,15.4%
Edge/ shaving cream,-13.9%
Edge/ toiletries and grooming,-14.5%
Old Spice Red Zone/ deodorants,-2.6%
Gillette Fusion Power/ cartridges,-5.7%
Gillette Custom Plus/ disposables,2.3%
Old Spice/ toiletries and grooming,69.5%
Gillette Mach3 Turbo/ cartridges,-15.5%
Dove Men+Care/ deodorant,29.1%
