Industries,Share of responding businesses
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",15%
Other,13%
Retail or wholesale (incl. online shops),13%
"Personal services (e.g. beauty and wellness, repair of household goods)",12%
"Professional services (e.g., financial services, consulting, travel agents, business services)",7%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",7%
"Accommodation (e.g., hotels, camping grounds)",6%
"Healthcare (e.g., dentist, senior care)",6%
Restaurant/café or other food services,4%
Construction or home repair,4%
"Real estate (e.g., brokerage, leasing, management)",4%
Non-profit/charity organization,3%
Manufacturing,3%
"Education (e.g., schools, tutoring, driving school)",2%
"Transportation or storage (e.g., taxi, warehousing)",1%
Automotive repair or services,1%
