Quarter,Average rent in euros per square meter
Q3 '19,16.62€
Q2 '19,16.31€
Q1 '19,16.33€
Q4 '18,16€
Q3 '18,16.04€
Q2 '18,15.82€
Q1 '18,15.56€
Q4 '17,15.25€
Q3 '17,15.23€
Q2 '17,14.85€
Q1 '17,14.7€
Q4 '16,14.34€
Q3 '16,14.11€
Q2 '16,13.5€
Q1 '16,13.38€
Q4 '15,13.14€
Q3 '15,13.27€
Q2 '15,12.71€
Q1 '15,12.61€
Q4 '14,12.49€
Q3 '14,12.61€
Q2 '14,12.42€
Q1 '14,12.37€
Q4 '13,12.33€
Q3 '13,12.62€
Q2 '13,12.43€
Q1 '13,12.28€
Q4 '12,12.24€
Q3 '12,12.61€
Q2 '12,12.11€
Q1 '12,12.06€
Q4 '11,12.7€
Q3 '11,12.19€
Q2 '11,12.17€
Q1 '11,12.1€
Q4 '10,12.38€
Q3 '10,12.21€
Q2 '10,12.15€
Q1 '10,12.3€
