Month,Production in million metric tons
Bananas,115.74
Watermelons,103.97
Apples,86.14
Grapes,79.19
Oranges,75.54
"Mangoes, mangosteens, guavas",55.38
Plantains and others,39.48
"Tangerines, mandarins, clementines, satsumas",34.39
"Fruit, fresh nes",33.92
Pineapples,27.92
"Melons, other (inc.cantaloupes)",27.35
Peaches and nectarines,24.45
"Fruit, tropical fresh nes",23.87
Pears,23.73
Lemons and limes,19.39
"Fruit, citrus nes",13.9
Papayas,13.29
Plums and sloes,12.61
Grapefruit (inc. pomelos),9.37
Dates,8.53
Strawberries,8.34
Avocados,6.41
Persimmons,4.71
Kiwi fruit,4.02
Apricots,3.87
Cherries,2.56
Cashewapple,1.71
"Cherries, sour",1.53
Figs,1.14
Berries nes,1.01
Raspberries,0.87
Cranberries,0.72
