Product (Company),Revenue in million U.S. dollars
Revlimid (Celgene),4417
Rituxan (Roche),3970
Avastin (Roche),3009
Opdivo (Bristol-Myers Squibb),2664
Herceptin (Roche),2547
Ibrance (Pfizer),2068
Imbruvica (AbbVie),1580
Xtandi (Astellas),1218
Gleevec (Novartis),1214
Alimta (Eli Lilly),1101
Zytiga (Johnson & Johnson),1089
Velcade (Takeda),1044
Sprycel (Bristol-Myers Squibb),969
Perjeta (Roche),919
Jakafi (Incyte),853
Yervoy (Bristol-Myers Squibb),802
Keytruda (Merck & Co.),792
Pomalyst (Celgene),778
Afinitor (Novartis),775
Tasigna (Novartis),722
Lupron (AbbVie),663
Treanda (Cephalon/Teva),661
Abraxane (Celegene),634
Erbitux (BMS/Imclone),581
Tarceva (Roche),568
