Brand/ segment,Sales in million U.S. dollars
Gillete Fusion/ cartridges,232.2
Philips Norelco/ electric shaver groomer,224.8
Gillette Mach3/ cartridges,221.8
Degree Men's/ deodorant,194.6
Gillette Fusion ProGlide/ cartridges,166.4
Old Spice Red Zone/ toiletries and grooming,137.0
Just for Men's/ hair coloring,127.3
Axe/ liquid body wash,124.6
Old Spice High Endurance/ deodorant,124.4
Axe Dry/ deodorants,90.7
Gillette Fusion ProGlide Power / Cartridges,86.8
Dove Men+Care/ liquid body wash,86.7
Edge/ shaving cream,79.5
Edge/ toiletries and grooming,78.7
Old Spice Red Zone/ deodorants,76.1
Gillette Fusion Power/ cartridges,75.8
Gillette Custom Plus/ disposables,75.5
Old Spice/ toiletries and grooming,74.3
Gillette Mach3 Turbo/ cartridges,68.7
Dove Men+Care/ deodorant,67.3
