State,Percentage of households
Louisiana,11.67%
Mississippi,11.3%
New Mexico,9.69%
North Carolina,9.53%
Georgia,9.51%
South Carolina,8.94%
Oklahoma,8.63%
Rhode Island,8.28%
Texas,8.25%
Delaware,8.07%
Arkansas,8%
Pennsylvania,7.91%
Alabama,7.84%
Florida,7.79%
Nebraska,7.68%
New York,7.68%
Connecticut,7.62%
Ohio,7.59%
United States,7.51%
Indiana,7.36%
California,7.34%
Missouri,7.27%
Minnesota,7.25%
Alaska,7.25%
Massachusetts,7.2%
District of Columbia,7.19%
Kentucky,7.05%
Nevada,7.04%
Arizona,7.04%
Illinois,6.97%
Virginia,6.95%
Kansas,6.94%
Maryland,6.91%
Tennessee,6.7%
West Virginia,6.7%
New Jersey,6.6%
Vermont,6.46%
Michigan,6.44%
Wisconsin,6.43%
Oregon,6.41%
Wyoming,6.41%
Hawaii,6.22%
North Dakota,6.21%
Maine,6.17%
South Dakota,6%
Colorado,5.88%
Iowa,5.87%
New Hampshire,5.87%
Washington,5.58%
Utah,4.89%
Idaho,4.81%
Montana,4.78%
