Region,Magnitude on the Richter scale
Chile (1960),9.5
"Prince William Sound, Alaska (1964)",9.2
West Coast North Sumatra (2004),9.1
Kamchatka (1952),9.0
"Japan, east of Honshu (2011)",9.0
Off the coast of Ecuador(1906),8.8
Off the coast of Chile(2010),8.8
"Rat Islands, Alaska (1965)",8.7
South of Alaska (1946,8.6
West CoastNorth Sumatra (2012),8.6
"Assam, Tibet (1950)",8.6
"Andrean of Islands, Aleutian Islands, Alaska (1957)",8.6
"North Sumatra, Indonesia (2005)",8.6
"South Sumatra, Indonesia (2007)",8.5
"Banda Sea, Indonesia (1938)",8.5
Chilean-Argentine border (1922),8.5
Kuril Islands (1963),8.5
