Dutch Football Players,Market (transfer) value in million euros
Donny van de Beek (Ajax),55.0
Hakim Ziyech (Ajax),50.0
David Neres (Ajax),45.0
André Onana (Ajax),45.0
Nicolás Tagliafico (Ajax),35.0
Donyell Malen (PSV),28.0
Dusan Tadic (Ajax),25.0
Daley Blind (Ajax),25.0
Mohamed Ihattaren (PSV),22.0
Quincy Promes (Ajax),22.0
Lisandro Martínez (Ajax),20.0
Myron Boadu (AZ),20.0
Calvin Stengs (AZ),20.0
Noussair Mazraoui (Ajax),15.0
Teun Koopmeiners (AZ),14.0
Denzel Dumfries (PSV),13.5
Steven Berghuis (Feyenoord),13.0
Edson Álvarez (Ajax),13.0
Sergiño Dest (Ajax),12.0
Razvan Marin (Ajax),12.0
Oussama Idrissi (AZ),12.0
Pablo Rosario (PSV),11.0
Joël Veltman (Ajax),10.0
Bruma (PSV),10.0
Ricardo Rodríguez (PSV),10.0
