State,Number of registered automobiles
California,14860967
Texas,8176879
Florida,7778493
Illinois,4655844
Ohio,4605459
New York,4563035
Pennsylvania,4463267
Georgia,3536055
North Carolina,3317918
Michigan,3257473
Virginia,3251339
Washington,2925765
New Jersey,2798699
Arizona,2391624
Tennessee,2325004
Indiana***,2261440
Massachusetts**,2208468
Minnesota,2146187
Missouri,2141050
Wisconsin,2092584
Alabama,2065463
Maryland,2006904
South Carolina,1808401
Colorado,1785058
Kentucky,1691085
Oregon,1542461
Louisiana,1389436
Oklahoma,1337624
Connecticut,1302339
Iowa,1268996
Nevada,1047508
Kansas,987259
Arkansas,926789
Utah,925052
Mississippi,822864
Nebraska,677040
New Mexico,609494
West Virginia,562984
Idaho,550006
Hawaii,512386
New Hampshire,505381
Montana,441392
Rhode Island,420313
Delaware,419199
Maine,387233
South Dakota,353180
North Dakota,276545
Vermont,221936
Dist. of Col.,208141
Wyoming,193523
Alaska**,173487
