Bank In Usa,Number of employees
Wells Fargo Bank,230338
JPMorgan Chase Bank,194680
Citibank,163581
Bank of America,136502
U.S. Bank,72144
PNC Bank,52319
The Bank of New York Mellon,40742
Branch Banking and Trust Company,33401
State Street Bank and Trust Company,33004
Capital One,27679
TD Bank,26305
Capital One Bank (USA),23764
SunTrust Bank,21405
Regions Bank,19906
The Northern Trust Company,18436
KeyBank,17737
Fifth Third Bank,17420
Manufacturers and Traders Trust Company,16341
Citizens Bank,15343
The Huntington National Bank,14802
