Cities,"Number of resident population in 1,000"
"New York city, New York",8398.75
"Los Angeles city, California",3990.46
"Chicago city, Illinois",2705.99
"Houston city, Texas",2325.5
"Phoenix city, Arizona",1660.27
"Philadelphia city, Pennsylvania",1584.14
"San Antonio city, Texas",1532.23
"San Diego city, California",1425.98
"Dallas city, Texas",1345.05
"San Jose city, California",1030.12
"Austin city, Texas",964.25
"Jacksonville city, Florida",903.89
"Fort Worth city, Texas",895.01
"Columbus city, Ohio",892.53
"San Francisco city, California",883.31
"Charlotte city, North Carolina",872.5
"Indianapolis city (balance), Indiana",867.13
"Seattle city, Washington",744.96
"Denver city, Colorado",716.49
"Washington city, District of Columbia",702.46
"Boston city, Massachusetts",694.58
"El Paso city, Texas",682.67
"Detroit city, Michigan",672.66
"Nashville-Davidson metropolitan government (balance), Tennessee",669.05
"Portland city, Oregon",653.12
