Month,Payroll in thousand U.S. dollars
Bastian Schweinsteiger,5600.0
Nicolas Gaitan,2197.5
Nemanja Nikolic,1913.33
Aleksandar Katai,1380.33
Marcelo Ferreira,797.5
Dax McCarty,700.0
Francisco Calvo,672.6
Przemyslaw Frankoswki,661.69
Johan Kappelhof,577.83
CJ Sapong,475.0
David Ousted,361.14
Richard Sanchez,152.5
Kenneth Kronholm,151.0
Mohammed Adams,135.0
Fabian Herbers,135.0
Djordje Mihailovic,111.0
Grant Lillard,97.5
Brandt Bronico,90.63
Cristian Martinez,88.41
Gabriel Slonina,74.8
Diego Campos,72.83
Amando Moreno,72.75
Jorge Corrales,70.88
Raheem Edwards,70.25
Stefan Cleveland,70.25
Andre Reynolds,64.25
Elliot Collier,57.23
Jeremiah Gutjahr,56.25
