Life Insurance Companies,Market capitalization in billion U.S. dollars
AIA Group (Hong Kong),122.2
China Life Insurance (China),114.2
Prudential (United Kingdom),60.2
China Pacific Insurance (China),47.9
Japan Post Holdings (Japan),44.5
Prudential Financial (United States),42.4
Aflac (United States),36.6
Manulife (Canada),36.2
New China Life Insurance (China),25.6
Sun Life Financial (Canada),24.5
Legal & General Group (United Kingdom),22.6
Aviva (United Kingdom),22.0
Cathay Financial (Taiwan),18.0
Dai-ichi Life Insurance (Japan),16.9
Swiss Life Holding (Switzerland),15.9
