Schools,Number of students
Stockholm University,45879
University of Gothenburg,38084
Uppsala University,37205
Lund University,35313
Umeå University,26438
Linnaeus University,26162
Linköping University,22713
Malmö University,17767
KTH Royal Institute of Technology,17064
Mälardalen University College,14439
Örebro University,13211
Mid Sweden University,12699
Dalarna University,12624
Karlstad University,12588
Gävle University College,11934
Luleå University of Technology,11725
Kristianstad University,11220
Jönköping University,10375
Chalmers University of Technology,10252
Södertörn University,9266
