Sports Team,Pay per player in million U.S. dollars
FC Barcelona (La Liga),13.75
Real Madrid (La Liga),10.64
Oklahoma City Thunder (NBA),10.33
Golden State Warriors (NBA),10.29
Washington Wizards (NBA),10.04
Toronto Raptors (NBA),9.97
Houston Rockets (NBA),9.85
Miami Heat (NBA),9.26
Juventus Turin (Serie A),8.85
Manchester United (EPL),8.6
Charlotte Hornets (NBA),8.59
Minnesota Timberwolves (NBA),8.51
Boston Celtics (NBA),8.44
Portland Trail Blazers (NBA),8.43
Bayern Munich (Bundesliga),8.36
Cleveland Cavaliers (NBA),8.26
Atletico Madrid (La Liga),8.1
Paris Saint-Germain (Ligue 1),8.03
Memphis Grizzlies (NBA),8.02
Manchester City (EPL),8.02
