Country,Index value in points
Italy,98.26
France,98.17
Germany,97.96
United Kingdom,97.9
Spain,97.46
Netherlands,97.33
Sweden,97.26
Switzerland,96.37
Belgium,96.27
Austria,95.96
Portugal,93.84
Finland,93.82
Denmark,93.77
United States,93.62
Russian Federation,93.05
India,92.96
Turkey,92.47
Canada,92.41
Greece,91.95
Hungary,91.85
"Egypt, Arab Rep.",91.83
Argentina,91.66
Poland,91.61
"Korea, Rep.",91.16
Romania,91.11
China,90.61
Norway,90.23
Australia,90.21
Czech Republic,90.16
Ukraine,89.24
Japan,88.73
Mexico,88.61
Chile,87.73
South Africa,87.6
Indonesia,87.28
Morocco,87.06
Serbia,87.02
Bulgaria,87.02
Peru,85.9
Nigeria,85.72
Croatia,85.47
Malaysia,85.28
Slovak Republic,85.19
Pakistan,85.05
Tunisia,83.65
Slovenia,83.45
Senegal,83.34
Philippines,82.96
Uruguay,82.8
Thailand,82.14
Jordan,82.06
Ghana,81.39
Algeria,80.36
Estonia,80.05
Colombia,79.64
Kenya,79.62
"Iran, Islamic Rep.",79.52
Cuba,79.43
Lithuania,79.2
Brazil,79.17
Guatemala,78.75
Latvia,78.3
Ethiopia,78.04
Sri Lanka,78.03
New Zealand,77.85
Tanzania,77.19
Ecuador,77.12
Ireland,76.94
Bosnia and Herzegovina,76.55
El Salvador,75.38
Belarus,75.22
Bangladesh,75.1
Paraguay,75.02
Costa Rica,74.97
Israel,74.68
Vietnam,74.39
Cote d'Ivoire,73.99
Cameroon,73.63
Bolivia,73.54
Dominican Republic,73.37
Burkina Faso,72.74
"Venezuela, RB",72.51
"Macedonia, FYR",72.24
Kazakhstan,71.61
Uganda,71.59
Zambia,71.33
Moldova,71.16
Luxembourg,71.03
Benin,70.79
Armenia,70.57
Mongolia,70.14
Qatar,69.68
Georgia,69.41
Honduras,69.02
Mali,68.64
Zimbabwe,68.49
Singapore,68.43
Guinea,68.41
"Congo, Dem. Rep.",68.36
Lebanon,67.96
