Month,Yearly earnings in million euros
Joachim Löw (Germany),3.85
Tite (Brazil),3.5
Didier Deschamps (France),3.5
Julen Lopetegui (Spain,3.0
Stanislav Cherchesov (Russia),2.6
Fernando Santos (Portugal),2.25
Carlos Queiroz (Iran),2.0
Gareth Southgate (England),2.0
Jorge Sampaoli (Argentina),1.8
Óscar Tabárez (Uruguay),1.7
Héctor Cúper (Egypt),1.5
José Pékerman (Colombia),1.5
Juan Antonio Pizzi (Saudi Arabia),1.44
Bert van Marwijk (Australia),1.25
Ricardo Gareca (Peru),1.15
Juan Carlos Osorio (Mexico),1.05
Åge Hareide (Denmark),1.0
Vahid Halilhodžić (Japan),1.0
Roberto Martinez (Belgium),1.0
Vladimir Petković (Switzerland),0.85
Hervé Renard (Morocco),0.78
Heimir Hallgrímsson (Iceland),0.7
Zlatko Dalić (Croatia),0.55
Gernot Rohr (Nigeria),0.5
Janne Andersson (Sweden),0.45
Shin Tae-yong (South Korea),0.45
Hernán Darío Gómez (Panama),0.4
Óscar Ramírez (Costa Rica),0.35
Nabil Maâloul (Tunisia),0.35
Mladen Krstajić (Serbia),0.3
Adam Nawałka (Poland),0.27
Aliou Cissé (Senegal),0.2
