State,Number of accidents
New York,1182
Illinois,998
Texas,802
California,699
New Jersey,685
Pennsylvania,682
Indiana,311
Ohio,278
Louisiana,261
Georgia,253
Kansas,243
Missouri,243
Florida,241
Nebraska,224
Minnesota,221
Washington,207
Tennessee,200
Iowa,193
Wisconsin,188
Virginia,183
Massachusetts,181
Maryland,176
Alabama,174
Kentucky,166
North Carolina,164
Arkansas,164
Michigan,162
Colorado,160
Oklahoma,155
Connecticut,150
Montana,136
North Dakota,134
Oregon,123
Mississippi,120
West Virginia,118
District of Columbia,117
South Carolina,105
New Mexico,98
Arizona,88
Wyoming,67
Delaware,66
Idaho,52
Alaska,51
Utah,50
South Dakota,37
Nevada,37
Rhode Island,21
Maine,21
Vermont,19
New Hampshire,6
Hawaii,0
