Club,Revenue in million euros
VfB Stuttgart (Mercedes-Benz Arena)**,0.67
FC Bayern Munich (Allianz-Arena),6.0
FC Schalke 04 (Veltins Arena),6.0
Borussia Dortmund (Signal Iduna Park),5.8
Eintracht Frankfurt (Commerzbank-Arena),4.0
Fortuna Dusseldorf (Nerkur Spielarena),3.75
TSG 1899 Hoffenheim (Wirsol Rhein-Neckar-Arena),2.8
Hannover 96 (HDI Arena),2.6
Bayer 04 Leverkusen (BayArena),2.5
1. FSV Mainz 05 (Opel Arena),1.9
FC Augsburg (WWK Arena),1.4
FC Nurnberg (Max-Morlock Stadion),1.1
SC Freiburg (Schwarzwald-Stadion),0.53
