Cause of death,Number of deaths
Neoplasms,46627
Diseases of the circulatory system,37769
Diseases of the respiratory system,14038
Mental and behavioural disorders,13002
Diseases of the nervous system,8968
External causes of injury and poisoning,8627
"Symptoms, signs and ill-defined conditions",6557
Diseases of the digestive system,4722
"Endocrine, nutritional and metabolic diseases",3568
Diseases of the genitourinary system,3359
Infectious and parasitic diseases,3322
Diseases of the musculoskeletal system and connective tissue,1127
Blood/bloodforming organs and immune mechanism diseases,543
Congenital anomalies,507
Conditions originating in the perinatal period,328
Diseases of the skin and subcutaneous tissue,294
"Complications of pregnancy, childbirth and the puerperium",5
