App Categories,Mobile reach
Communication & Social,97.9%
Web Browsers,97.6%
Utilities & Tools,96.6%
Entertainment,95.5%
Search & Reference,93.2%
Shopping,92.6%
News & Weather,88.6%
Travel,84.7%
Finance,83.2%
"People, Family & Lifestyle",82.3%
Productivity,79.6%
Technology,71.7%
Business,70.5%
Health & Fitness,68.9%
Games,65.9%
Photo & Video,63.4%
Careers & Education,52.1%
Sports,42.7%
Books,38.5%
"Law, Government & Non-Profit",37.6%
Other & Uncategorized,32.7%
Real Estate,26.7%
Automotive,20.2%
Gambling & Lottery,9.3%
