Industry,Wage and salary in U.S. dollars
Management of companies and enterprises,130777
Information,123534
Utilities,113665
Finance and insurance,112335
Mining,106279
"Professional, scientific, and technical services",102676
Wholesale trade,81527
Manufacturing,71281
Government,68638
Construction,65487
Real estate and rental and leasing,65349
Wages and salaries per full-time equivalent employee,64678
Private industries,63305
Transportation and warehousing,59458
Health care and social assistance,56061
"Arts, entertainment, and recreation",51204
Educational services,48404
Administrative and waste management services,45221
"Other services, except government",45069
"Agriculture, forestry, fishing, and hunting",38828
Retail trade,38223
Accommodation and food services,30403
