Ranking of the companies rank 1 to 100,Market value in billion U.S. dollars
Apple,961.3
Microsoft,946.5
Amazon.com,916.1
Alphabet,863.2
Berkshire Hathaway,516.4
Facebook,512.0
Alibaba,480.8
Tencent Holdings,472.1
JPMorgan Chase,368.5
Johnson & Johnson,366.2
Visa,351.9
ExxonMobil,343.4
ICBC,305.1
Walmart,296.1
Bank of America,287.3
Nestlé,281.3
Samsung Electronics,272.4
Procter & Gamble,265.3
Royal Dutch Shell,264.9
Intel,263.1
Cisco Systems,248.3
Mastercard,247.1
Verizon Communications,239.7
Walt Disney,238.1
AT&T,233.3
Chevron,228.3
Home Depot,226.8
China Construction Bank,225.0
Nike,224.3
Taiwan Semiconductor,222.4
Roche Holding,222.0
Ping An Insurance Group,220.2
Pfizer,218.6
Wells Fargo,214.7
Boeing,214.5
UnitedHealth Group,212.8
Coca-Cola,203.0
PetroChina,198.7
China Mobile,197.6
Agricultural Bank of China,197.0
Comcast,192.0
Merck & Co.,189.1
Oracle,186.3
PepsiCo,178.2
Kweichow Moutai,177.1
Toyota Motor,176.6
Novartis,175.6
HSBC Holdings,175.5
Citigroup,161.1
Netflix,157.3
Unilever,153.6
L'Oréal Group,153.0
BP,149.5
Total,149.5
McDonald's,148.8
Bank of China,143.0
BHP Billiton,138.3
SAP,134.9
Adobe Systems,132.0
Philip Morris International,131.5
China Merchants Bank,130.4
Abbott Laboratories,129.8
Reliance Industries,126.4
Broadcom,126.1
3M,126.1
PayPal,125.8
Union Pacific,125.6
IBM,124.9
Honeywell International,123.1
AIA Group,122.2
Salesforce.com,120.9
Eli Lilly,119.3
United Technologies,118.1
Novo Nordisk,116.3
Tata Consultancy Services,116.1
Royal Bank of Canada,114.9
AbbVie,114.7
China Life Insurance,114.2
Accenture,113.9
NVIDIA,113.4
Medtronic,113.0
Softbank,112.4
Naspers,111.3
Amgen,109.3
Texas Instruments,108.4
Costco Wholesale,108.1
Sinopec,105.6
AIRBUS,104.9
Thermo Fisher Scientific,103.9
TD Bank Group,103.8
Allianz,102.3
Sanofi,102.0
Altria Group,101.8
Rio Tinto,100.0
Saudi Basic Industries,100.0
AstraZeneca,99.2
United Parcel Service,98.3
Linde,98.3
Inditex,98.0
Anheuser-Busch InBev,0.7
