Month,Index number of sales per week
Sep 19,128.4
Aug 19,142.4
Jul 19,142.0
Jun 19,145.8
May 19,141.9
Apr 19,137.5
Mar 19,138.4
Feb 19,145.1
Jan 19,140.4
Dec 18,128.3
Nov 18,136.5
Oct 18,137.4
Sep18,132.2
Aug 18,131.5
Jul 18,128.5
Jun 18,125.6
May 18,124.7
Apr 18,119.5
Mar 18,119.4
Feb 18,116.5
Jan 18,113.1
Dec 17,113.4
Nov 17,113.6
Oct 17,109.7
Sep 17,111.6
Aug 17,105.7
Jul 17,105.5
Jun 17,105.0
May 17,104.2
Apr 17,110.5
Mar 17,110.8
Feb 17,106.9
Jan 17,104.0
Dec 16,101.3
Nov 16,101.9
Oct 16,103.4
Sep 16,100.9
Aug 16,107.1
July 16,104.8
June 16,97.4
May 16,98.5
April 16,98.1
Mar 16,95.3
Feb 16,95.9
Jan 16,96.4
