County,Resident population in million
"Los Angeles County, California",10.11
"Cook County, Illinois",5.18
"Harris County, Texas",4.7
"Maricopa County, Arizona",4.41
"San Diego County, California",3.34
"Orange County, California",3.19
"Miami-Dade County, Florida",2.76
"Dallas County, Texas",2.64
"Kings County, New York",2.58
"Riverside County, California",2.45
"Queens County, New York",2.28
"King County, Washington",2.23
"Clark County, Nevada",2.23
"San Bernardino County, California",2.17
"Tarrant County, Texas",2.08
"Bexar County, Texas",1.99
"Broward County, Florida",1.95
"Santa Clara County, California",1.94
"Wayne County, Michigan",1.75
"Alameda County, California",1.67
"New York County, New York",1.63
"Middlesex County, Massachusetts",1.61
"Philadelphia County, Pennsylvania",1.58
"Sacramento County, California",1.54
"Palm Beach County, Florida",1.49
