Month,Approval rate
Jan '17,57%
Dec '16,56%
Nov '16,56%
Oct '16,54%
Sep '16,52%
Aug '16,51%
Jul '16,51%
Jun '16,52%
May '16,51%
Apr '16,50%
Mar '16,51%
Feb '16,48%
Jan '16,48%
Dec '15,46%
Nov '15,47%
Oct '15,46%
Sep '15,47%
Aug '15,45%
Jul '15,46%
Jun '15,46%
May '15,47%
Apr '15,47%
Mar '15,46%
Feb '15,46%
Jan '15,47%
Dec '14,44%
Nov '14,42%
Oct '14,41%
Sep '14,42%
Aug '14,42%
Jul '14,42%
Jun '14,42%
May '14,44%
Apr '14,44%
Mar '14,43%
Feb '14,42%
Jan '14,41%
Dec '13,41%
Nov '13,41%
Oct '13,44%
Sep '13,44%
Aug '13,45%
Jul '13,46%
Jun '13,47%
May '13,49%
Apr '13,49%
Mar '13,48%
Feb '13,51%
Jan '13,52%
Dec '12,53%
Nov '12,51%
Oct '12,50%
Sep '12,49%
Aug '12,45%
Jul '12,46%
Jun '12,46%
May '12,47%
Apr '12,47%
Mar '12,46%
Feb '12,45%
Jan '12,45%
Dec '11,43%
Nov '11,43%
Oct '11,41%
Sep '11,41%
Aug '11,41%
Jul '11,44%
Jun '11,46%
May '11,50%
Apr '11,44%
Mar '11,47%
Feb '11,47%
Jan '11,49%
Dec '10,46%
Nov '10,45%
Oct '10,45%
Sep '10,45%
Aug '10,44%
Jul '10,46%
Jun '10,46%
May '10,48%
Apr '10,48%
Mar '10,49%
Feb '10,50%
Jan '10,49%
Dec '09,50%
Nov '09,51%
Oct '09,53%
Sep '09,52%
Aug '09,57%
Jul '09,61%
Jun '09,61%
May '09,65%
Apr '09,63%
Mar '09,62%
Feb '09,64%
Jan '09,66%
