Players,Number of runs batted in
Hank Aaron,2297
Babe Ruth,2214
Alex Rodriguez,2086
Cap Anson,2075
Albert Pujols,2075
Barry Bonds,1996
Lou Gehrig,1995
Stan Musial,1951
Ty Cobb,1944
Jimmie Foxx,1922
Eddie Murray,1917
Willie Mays,1903
Mel Ott,1860
Carl Yastrzemski,1844
Ted Williams,1839
Ken Griffey,1836
Rafael Palmeiro,1835
Dave Winfield,1833
Manny Ramirez,1831
Al Simmons,1828
Frank Robinson,1812
David Ortiz,1768
Honus Wagner,1732
Adrian Beltre,1707
Frank Thomas,1704
Reggie Jackson,1702
Jim Thome,1699
Cal Ripken,1695
Miguel Cabrera,1694
Gary Sheffield,1676
