Month,Client retention rate
Dur,100%
Pilot PMR,99%
Janice McCafferty PR,99%
Paul Werth Associates,98%
Racepoint Global,98%
42 West,98%
Ink Link Marketing,98%
Edelman,97%
Crenshaw Communications,97%
Hart Associates Inc.,97%
Blue Water Communications,97%
Public Communications Inc.,97%
Anderson Group Public Relations,96%
"Gagen MacDonald, LLC",96%
Prosek Partners,96%
Powell Tate,96%
Blaze,96%
Zeno Group,96%
JCPR,96%
PetersGroup,95%
Energi PR,95%
Patriot Strategies,95%
Renata Parker PR LLC,95%
GolinHarris,95%
GaileyMurray Communications,95%
"Fujita & Miura Public Relations, Inc.",95%
"Payton Communications, LLC",95%
NP Strategy,95%
