State,Unemployment rate
Alaska,6.6%
District of Columbia,5.6%
West Virginia,5.3%
New Mexico,4.9%
Louisiana,4.9%
Arizona,4.8%
Mississippi,4.8%
Nevada,4.6%
Ohio,4.6%
Washington,4.5%
Illinois,4.3%
Kentucky,4.3%
Pennsylvania,4.3%
Oregon,4.2%
California,4.2%
Connecticut,4.1%
Michigan,4.1%
New Jersey,4.1%
New York,4.1%
Rhode Island,4.1%
Wyoming,4.1%
Maryland,3.9%
Texas,3.9%
Alabama,3.9%
North Carolina,3.9%
Georgia,3.9%
Delaware,3.8%
Arkansas,3.7%
Montana,3.7%
Florida,3.6%
Tennessee,3.5%
Maine,3.4%
Oklahoma,3.4%
South Carolina,3.4%
Kansas,3.4%
Indiana,3.4%
Colorado,3.3%
Massachusetts,3.3%
Missouri,3.2%
Utah,3.1%
South Dakota,3%
Virginia,3%
Wisconsin,3%
Minnesota,2.9%
Idaho,2.8%
Nebraska,2.8%
Vermont,2.7%
North Dakota,2.6%
New Hampshire,2.5%
Iowa,2.5%
Hawaii,2.4%
