Month,Number of players in thousands
Jan '20,614.83
Dec '19,685.17
Nov '19,708.52
Oct '19,741.52
Sept '19,753.37
Aug '19,826.69
Jul '19,779.16
Jun '19,894.33
May '19,995.43
Apr '19,968.76
Mar '19,1036.05
Feb '19,964.92
Jan '19,876.87
Dec '18,765.42
Nov '18,826.05
Oct '18,739.64
Sept' 18,826.17
Aug '18,829.28
Jul '18,701.58
Jun '18,796.89
May '18,844.71
Apr '18,733.21
Mar '18,773.9
Feb '18,778.37
Jan '18,777.7
Dec '17,862.96
Nov '17,859.1
Oct '17,832.55
Sept '17,829.56
Aug '17,874.98
Jul '17,824.3
Jun '17,923.12
May '17,972.89
Apr '17,921.32
Mar '17,956.23
Feb '17,1040.39
Jan '17,1007.45
Dec '16,1016.44
Nov '16,1004.97
Oct '16,1135.83
Sept '16,1063.58
Aug '16,1114.22
Jul '16,1084.78
Jun '16,1096.25
May '16,1077.11
Apr '16,1128.85
Mar '16,1286.62
Feb '16,1244.18
Jan '16,1068.25
