Weekly approval (week ending..),Share of respondents who approved
"February 16, 2020",49%
"January 15, 2020",44%
"December 15, 2019",45%
"November 14, 2019",43%
"October 13, 2019",39%
"September 15, 2019",43%
"August 14, 2019",41%
"July 12, 2019",44%
"June 16, 2019",43%
"May 12, 2019",42%
"April 9, 2019",45%
"March 10, 2019",39%
"February 10, 2019",44%
"January 27, 2019",37%
"December 22, 2018",39%
"November 25, 2018",38%
"October 28, 2018",40%
"September 30, 2018",42%
"August 26, 2018",41%
"July 29, 2018",40%
"June 24, 2018",41%
"May 27, 2018",40%
"April 29, 2018",42%
"March 25, 2018",39%
"February 25, 2018",39%
"December 31, 2017",39%
"November 26, 2017",37%
"October 29, 2017",35%
"September 24, 2017",38%
"August 27, 2017",37%
"July 30, 2017",38%
"June 25, 2017",39%
"May 28, 2017",41%
"April 30, 2017",41%
"March 26, 2017",39%
"February 26, 2017",42%
"January 29, 2017",45%
