Name,Games played
Iker Casillas,181
Cristiano Ronaldo,171
Xavi Hernández,157
Ryan Giggs,151
Raúl González,144
Lionel Messi,140
Paolo Maldini,139
Andrés Iniesta,132
Clarence Seedorf,131
Paul Scholes,130
Gianluigi Buffon,130
Roberto Carlos,128
Xabi Alonso,127
Zlatan Ibrahimović,123
Sergio Ramos,123
Carles Puyol,120
Karim Benzema,117
Andriy Shevchenko,116
Gerard Piqué,115
Gary Neville,115
Thierry Henry,115
Andrea Pirlo,115
Dani Alves,114
Philipp Lahm,114
David Beckham,113
Arjen Robben,111
Patrice Evra,111
John Terry,111
Petr Čech,111
Thomas Müller,111
Sergio Busquets,111
Víctor Valdés,110
Cesc Fàbregas,110
Olexandr Shovkovskiy,109
Ashley Cole,108
Roar Strand,107
Oliver Kahn,107
Luís Figo,107
Frank Lampard,107
Manuel Neuer,107
Javier Zanetti,105
Fernando Morientes,104
Toni Kroos,104
Alessandro Nesta,101
Edwin van der Sar,100
Pepe,100
